textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),clean_text,sentiment_label,text_length,word_count
cb774db0d1," I`d have responded, if I were going","I`d have responded, if I were going",neutral,morning,0-20,Afghanistan,38928346,652860.0,60,responded,1,36,1
549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative,noon,21-30,Albania,2877797,27400.0,105,sooo sad miss san diego,0,46,5
088c60f138,my boss is bullying me...,bullying me,negative,night,31-45,Algeria,43851044,2381740.0,18,boss bullying,0,25,2
9642c003ef, what interview! leave me alone,leave me alone,negative,morning,46-60,Andorra,77265,470.0,164,interview leave alone,0,31,3
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative,noon,60-70,Angola,32866272,1246700.0,26,sons couldn put releases already bought,0,75,6
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,night,70-100,Antigua and Barbuda,97929,440.0,223,shameless plugging best rangers forum earth,1,92,6
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive,morning,0-20,Argentina,45195774,2736690.0,17,feedings baby fun smiles coos,2,64,5
50e14c0bb8,Soooo high,Soooo high,neutral,noon,21-30,Armenia,2963243,28470.0,104,soooo high,1,10,2
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive,morning,46-60,Austria,9006398,82400.0,109,journey wow became cooler hehe possible,2,69,6
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,noon,60-70,Azerbaijan,10139177,82658.0,123,as much as love hopeful reckon chances minimal never cake stuff,1,107,11
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive,night,70-100,Bahamas,393244,10010.0,39,really really like song love story taylor swift,2,56,8
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative,morning,0-20,Bahrain,1701575,760.0,2239,sharpie running dangerously low ink,0,44,5
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative,noon,21-30,Bangladesh,164689383,130170.0,1265,want go music tonight lost voice,0,50,6
bbe3cbf620,test test from the LG enV2,test test from the LG enV2,neutral,night,31-45,Barbados,287375,430.0,668,test test lg env,1,26,4
8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative,morning,46-60,Belarus,9449323,202910.0,47,uh oh sunburned,0,21,3
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative,noon,60-70,Belgium,11589623,30280.0,383,ok trying plot alternatives as speak sigh,0,53,7
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative,night,70-100,Belize,397628,22810.0,17,ve sick past days thus hair looks wierd didnt hat would look,0,137,12
af3fed7fc3,is back home now      gonna miss every one,onna,negative,morning,0-20,Benin,12123200,112760.0,108,back home miss every one,0,42,5
40e7becabf,Hes just not that into you,Hes just not that into you,neutral,noon,21-30,Bhutan,771608,38100.0,20,hes into,1,26,2
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,night,31-45,Bolivia,11673021,1083300.0,11,oh marly sorry hope find soon,1,59,6
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive,morning,46-60,Bosnia and Herzegovina,3280819,51000.0,64,playing ghost online really interesting new updates kirin pet metamorph third job wait dragon pet,2,135,15
7de057cf40,is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,neutral,noon,60-70,Botswana,2351627,566730.0,4,cleaning house family comming later today,1,65,6
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,night,70-100,Brazil,212559417,8358140.0,25,restart computer thought win supposed put end constant rebootiness,1,98,9
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,morning,0-20,Brunei,437479,5270.0,83,see wat mean bout foll friidays called lose llowers friday smh,1,79,11
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive,noon,21-30,Bulgaria,6948445,108560.0,64,free fillin app ipod fun addicted,2,51,6
852edc3769,  I`m sorry.,I`m sorry.,negative,night,31-45,Burkina Faso,20903273,273600.0,76,sorry,0,12,1
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative,morning,46-60,Burundi,11890784,25680.0,463,way malaysia internet access twit,0,51,5
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive,noon,60-70,Côte d'Ivoire,26378274,318000.0,83,juss came backk berkeleyy omg madd fun havent minute whassqoodd,2,109,10
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,night,70-100,Cabo Verde,555987,4030.0,138,went sleep power cut noida power back working,0,78,8
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,morning,0-20,Cambodia,16718965,176520.0,95,home seen new twitter design quite heavenly isn,2,84,8
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,positive,noon,21-30,Cameroon,26545863,472710.0,56,hope unni make audition fighting dahye unni,2,58,7
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,night,31-45,Canada,37742154,9093510.0,4,consolation bmi tested hahaha says obesed well much unhappy about minutes,0,126,11
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive,morning,46-60,Central African Republic,4829767,622980.0,8,funny cute kids,2,31,3
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,noon,60-70,Chad,16425864,1259200.0,13,ahhh slept through game try best watch tomorrow though hope play army,1,102,12
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral,night,70-100,Chile,19116201,743532.0,26,thats end tears fears vs eric prydz dj hero,1,84,9
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative,morning,0-20,China,1380004385,9169091.190000035,153,born raised nyc living texas past years still miss ny,0,82,10
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,noon,21-30,Colombia,50882891,1109500.0,46,case wonder really busy today coming adding tons new blogs updates stay tuned,1,123,13
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,night,31-45,Comoros,869601,1861.0,467,soooooo sleeeeepy last day school today sniffle,0,72,7
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,342000.0,16,little happy wine jeje ok sm free time cares jaja love day,2,89,12
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,noon,60-70,Costa Rica,5094118,51060.0,100,car happy big big dent boot hoping theyre write off crossing fingers waiting,1,107,13
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,positive,night,70-100,Croatia,4105267,55960.0,73,avid fan magazine love magazines,2,57,5
2e7082d1c8,MAYDAY?!,MAYDAY?!,neutral,morning,0-20,Cuba,11326616,106440.0,106,mayday,1,8,1
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,noon,21-30,Cyprus,1207359,9240.0,131,ratt rocked nashville tonite one thing sucked encore like still fun show pearcy hott bad boy look,1,138,17
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,I love to!,positive,night,31-45,Czechia (Czech Republic),10708981,77240.0,139,love available pm dear would love help convert vids,2,105,9
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050.0,40,girl hair salon asked 'shall trim eyebrows old feel,1,84,9
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative,noon,60-70,Denmark,5792202,42430.0,137,egh blah boooooooooooo dunno go work hangovers suckkkkkk drunk mess,0,89,10
c3924dc9e4,:visiting my friendster and facebook,:visiting my friendster and facebook,neutral,night,70-100,Djibouti,988000,23180.0,43,visiting friendster facebook,1,36,3
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative,morning,0-20,Dominica,71986,750.0,96,donbt like peel prawns also dont like shopping running money crawling round car looking,0,126,14
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,noon,21-30,Dominican Republic,10847910,48300.0,225,case new one last week thrilled mine,0,77,7
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,night,31-45,Ecuador,17643054,248360.0,71,check connect tweeple hate twitter,1,98,5
15d5f3a41b," also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",neutral,morning,46-60,Egypt,102334404,995450.0,103,also bored school third freelesson freistunde,1,60,6
3c4a21b2cb, hm... Both of us I guess...,hm... Both of us I guess...,neutral,noon,60-70,El Salvador,6486205,20720.0,313,hm us guess,1,28,3
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,night,70-100,Equatorial Guinea,1402985,28050.0,50,dissappointed past days,0,56,3
d8ba2a99a9, romance zero is funny,romance zero is funny,positive,morning,0-20,Eritrea,3546421,101000.0,35,romance zero funny,2,22,3
e77fd45003, I`d rather do the early run..but I am a morning runner,I`d rather do the early run..but I am a morning runner,neutral,noon,21-30,Estonia,1326535,42390.0,31,rather early run morning runner,1,55,5
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200.0,67,bah coworker ran into work late bag smacked into knee really hurts,0,87,12
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,will be back later.,neutral,morning,46-60,Ethiopia,114963588,1000000.0,115,back later,1,45,2
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,noon,60-70,Fiji,896445,18270.0,49,aw torn ace hearts hunchback,0,34,5
90f3d2b572, what fun are you speaking of?,what fun are you speaking of?,neutral,night,70-100,Finland,5540720,304000.0,18,fun speaking,1,30,2
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative,morning,0-20,France,65273511,547557.0,119,lost friends alone sleepy go home,0,60,6
a4b0888da6, haha yes,haha yes,neutral,noon,21-30,Gabon,2225734,257670.0,9,haha yes,1,9,2
2a9765b7f9,I give in to easily,I give in to easily,negative,night,31-45,Gambia,2416668,10120.0,239,give easily,0,19,2
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,morning,46-60,Georgia,3989167,69490.0,57,better way spoil mum let kick back relax nice meal bottle favorite wine wine red,2,135,15
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,noon,60-70,Germany,83783942,348560.0,240,mannnn iphone jealous,0,66,3
23e1f7dca4,Is at a photoshoot.,Is at a photoshoot.,neutral,night,70-100,Ghana,31072940,227540.0,137,photoshoot,1,19,1
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,morning,0-20,Greece,10423054,128900.0,81,awesome worked before good friend,2,70,5
